A,B
2017/6/1,65792
2017/7/1,65962
2017/8/1,66370
2017/9/1,66672
2017/10/1,66900
2017/11/1,67222
2017/12/1,67376
2018/1/1,67289
2018/2/1,67509
2018/3/1,67283
2018/4/1,67702
2018/5/1,68128
2018/6/1,68368
2018/7/1,68373
2018/8/1,68677
2018/9/1,68815
2018/10/1,68960
2018/11/1,68983
2018/12/1,69054
2019/1/1,69048
2019/2/1,68804
2019/3/1,68840
2019/4/1,68775
2019/5/1,68718
2019/6/1,68666
2019/7/1,68642
2019/8/1,68484
2019/9/1,68586
2019/10/1,68891
2019/11/1,68897
2019/12/1,68468
2020/1/1,68414
2020/2/1,68302
2020/3/1,68302
2020/4/1,68302
2020/5/1,68302
2020/6/1,68302
2020/7/1,68302
2020/8/1,68302
2020/9/1,68302
2020/10/1,68302
2020/11/1,68302
2020/12/1,68302
2021/1/1,68302
2021/2/1,68302
2021/3/1,68302
2021/4/1,68302
2021/5/1,68302
2021/6/1,68302
2021/7/1,68302
2021/8/1,68302
2021/9/1,68302
2021/10/1,68302
2021/11/1,68302
2021/12/1,68302
2022/1/1,68302
2022/2/1,68302
2022/3/1,68302
2022/4/1,68302
2022/5/1,68302
2022/6/1,68302
2022/7/1,68302
2022/8/1,68302
2022/9/1,68302
2022/10/1,68302
2022/11/1,68302
2022/12/1,68302
2023/1/1,68302
2023/2/1,68302
2023/3/1,68302
2023/4/1,68302
2023/5/1,68302
2023/6/1,68302
2023/7/1,68302
2023/8/1,68302
2023/9/1,68302
2023/10/1,68302
2023/11/1,68302
2023/12/1,68302
2024/1/1,68302
2024/2/1,68302
2024/3/1,68302
2024/4/1,68302
2024/5/1,68302
2024/6/1,68302
2024/7/1,68302
2024/8/1,68302
2024/9/1,68302
2024/10/1,68302
2024/11/1,68302
2024/12/1,68302
2025/1/1,68302
2025/2/1,68302
2025/3/1,68302
2025/4/1,68302
2025/5/1,68302
2025/6/1,68302
2025/7/1,68302
2025/8/1,68302
2025/9/1,68302
2025/10/1,68302
2025/11/1,68302
2025/12/1,68302
2026/1/1,68302
2026/2/1,68302
2026/3/1,68302
2026/4/1,68302
2026/5/1,68302
2026/6/1,68302
2026/7/1,68302
2026/8/1,68302
2026/9/1,68302
2026/10/1,68302
2026/11/1,68302
2026/12/1,68302
2027/1/1,68302
2027/2/1,68302
2027/3/1,68302
2027/4/1,68302
2027/5/1,68302
2027/6/1,68302
2027/7/1,68302
2027/8/1,68302
2027/9/1,68302
2027/10/1,68302
2027/11/1,68302
2027/12/1,68302
2028/1/1,68302
2028/2/1,68302
2028/3/1,68302
2028/4/1,68302
2028/5/1,68302
2028/6/1,68302
2028/7/1,68302
2028/8/1,68302
2028/9/1,68302
2028/10/1,68302
2028/11/1,68302
2028/12/1,68302
2029/1/1,68302
2029/2/1,68302
2029/3/1,68302
2029/4/1,68302
2029/5/1,68302
2029/6/1,68302
2029/7/1,68302
2029/8/1,68302
2029/9/1,68302
2029/10/1,68302
2029/11/1,68302
2029/12/1,68302
2030/1/1,68302
2030/2/1,68302
2030/3/1,68302
2030/4/1,68302
2030/5/1,68302
2030/6/1,68302
2030/7/1,68302
